hole_id,comp_no,process_method,process_phase,mass_kg,mass_pct,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,LOI_371_pct,LOI_650_pct,LOI_1000_pct,LOI_total_pct
GVRD0268,9,LIMS, Mags(calc),81.989999999999981,60.98177761249535,58.07,15.36,0.42399999999999999,3.6999999999999998E-2,0.182,0.36199999999999999,6.7000000000000004E-2,1.9E-2,0.71799999999999997,7.1999999999999995E-2,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,5.0000000000000001E-4,8.0000000000000002E-3,2E-3,0.01,5.0000000000000001E-3,2E-3,5.0000000000000001E-4,2E-3,3.0000000000000001E-3,72.45,-0.32,0.59,-0.83,-0.56000000000000005
GVRD0268,9,LIMS, Tails,52.46,39.01822238750465,15.68,56.45,1.4430000000000001,5.6000000000000001E-2,0.96,2.3719999999999999,0.16400000000000001,5.8000000000000003E-2,3.71,0.183,0.03,2E-3,5.0000000000000001E-4,4.0000000000000001E-3,1E-3,5.0000000000000001E-4,1.0999999999999999E-2,5.0000000000000001E-4,2E-3,4.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,6.0000000000000001E-3,1.0999999999999999E-2,1.81,0.14000000000000001,8.9,2.5099999999999998,11.55
GVRD0268,9,LIMS,Calc Head,134.44999999999999,100,41.530175529936777,31.392587579025662,0.82159568612867229,4.4413462253625885E-2,0.48556177017478608,1.1462662699888435,0.10484767571587952,3.4217106731126816E-2,1.8854252138341392,0.11531022685013018,1.201037560431387E-2,2E-3,5.0000000000000001E-4,2.7803644477500931E-3,6.9509111193752327E-4,5.0000000000000001E-4,9.1705466716251391E-3,1.4147266641874304E-3,6.8785422089996271E-3,4.6098177761249538E-3,1.4147266641874304E-3,5.0000000000000001E-4,3.5607288955001857E-3,6.1214577910003705E-3,44.887527705466717,-0.14051617701747859,3.8324142804016366,0.47320862774265526,4.1651067311268131
GVRD0268,9,LIMS,Feed Assay,NA,NA,40.694995722362748,32.211203503942869,0.84499730322868627,4.344208451123345E-2,0.50559003496503496,1.1875815726826366,0.10639908495759559,3.6170900907603033E-2,1.9591418687695283,0.11652255988692158,1.0254798393096265E-2,2.3011456628477906E-3,5.4268338044933791E-4,3.696455140604077E-3,8.4155073649754496E-4,5.1848683231661957E-4,4.7658830531170961E-3,8.799192828448149E-4,5.9873716708823089E-3,3.6180441898527003E-3,6.0037568814164566E-4,5.1848683231661957E-4,2.9306092843326887E-3,9.9455996131528057E-3,44.037563420621929,-9.068628180330307E-2,4.1207004166046728,0.36667478797797942,4.3966889227793482
NSRD0796,2,LIMS, Mags(calc),65.06,56.870629370629366,52.65,20.55,0.86099999999999999,4.9000000000000002E-2,0.25900000000000001,0.16,5.0999999999999997E-2,3.2000000000000001E-2,0.96099999999999997,0.23799999999999999,1.0999999999999999E-2,3.0000000000000001E-3,1E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-4,2E-3,3.0000000000000001E-3,1.7000000000000001E-2,7.0000000000000001E-3,1E-3,5.0000000000000001E-4,2E-3,4.0000000000000001E-3,46.45,7.0000000000000007E-2,1.68,-0.44,1.31
NSRD0796,2,LIMS, Tails,49.34,43.129370629370626,16.739999999999998,58.92,2.4239999999999999,9.7000000000000003E-2,0.86,0.54900000000000004,0.15,0.13600000000000001,2.88,0.60899999999999999,3.5999999999999997E-2,3.0000000000000001E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-4,0.01,5.0000000000000001E-4,3.0000000000000001E-3,5.0000000000000001E-3,1E-3,5.0000000000000001E-4,4.0000000000000001E-3,8.9999999999999993E-3,2.25,0.5,7.73,0.55000000000000004,8.7799999999999994
NSRD0796,2,LIMS,Calc Head,114.4,100,37.162243006993002,37.098739510489516,1.5351120629370629,6.9702097902097901E-2,0.51820751748251748,0.32777325174825178,9.3698076923076912E-2,7.6854545454545453E-2,1.788652622377622,0.398009965034965,2.1782342657342656E-2,3.0000000000000001E-3,1E-3,7.8435314685314673E-4,5.0000000000000001E-4,5.0000000000000001E-4,5.450349650349651E-3,1.9217657342657341E-3,1.0961888111888111E-2,6.1374125874125874E-3,1E-3,5.0000000000000001E-4,2.8625874125874124E-3,6.1564685314685307E-3,27.386818181818185,0.25545629370629369,4.2893269230769224,-1.3019230769230745E-2,4.5317639860139858
NSRD0796,2,LIMS,Feed Assay,NA,NA,37.55070443028449,36.623074272908198,1.5055456826049873,6.9032645961901895E-2,0.50705912063285008,0.32186040171926483,9.1683140166909177E-2,7.4566521164684832E-2,1.7652273677520778,0.38943496730386506,2.5030053685213986E-2,2.9608315354640174E-3,9.2254946231164192E-4,5.0000000000000001E-4,1.7644540330807954E-3,8.8222701654039771E-4,3.370762463833559E-3,1.6882410984563412E-3,9.9735755021490829E-3,6.3954476276487215E-3,8.8222701654039771E-4,5.2906694763601091E-4,3.7644540330807959E-3,7.9250246684394506E-3,27.648062816717673,0.30267941063335174,4.1939661833324973,-4.1428929807837044E-2,4.4552166641580122
NSRD0796,3,LIMS, Mags(calc),81.72,65.850120870265911,48.49,25.29,1.202,6.2E-2,0.29099999999999998,0.28000000000000003,6.4000000000000001E-2,3.9E-2,1.3,0.41,2.5000000000000001E-2,2E-3,1E-3,2E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-3,2E-3,1.6E-2,6.0000000000000001E-3,1E-3,5.0000000000000001E-4,2E-3,3.0000000000000001E-3,58.23,-0.1,2.19,-0.78,1.31
NSRD0796,3,LIMS, Tails,42.38,34.149879129734089,14.39,57.89,2.4750000000000001,9.4E-2,0.99099999999999999,1.1279999999999999,0.14599999999999999,0.10199999999999999,3.88,0.65900000000000003,5.2999999999999999E-2,3.0000000000000001E-3,1E-3,1E-3,1E-3,5.0000000000000001E-4,8.9999999999999993E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-3,1E-3,1E-3,3.0000000000000001E-3,8.0000000000000002E-3,1.64,0.23,10.31,0.82,11.36
