hole_id,type,comp_no,process_method,pass,mass_g,mass_pct,D80_micron,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,LOI_371_pct,LOI_650_pct,LOI_1000_pct,LOI_total_pct
NSRD0799,Head, 17,HIG5 DTR,P5,NA,NA,29.846,43.82,28.51,2.709,0.136,0.209,0.431,0.042,0.055,1.59,1.039,0.059,0.004,0.001,0.002,0.001,5e-4,0.05,0.008,0.07,0.011,0.001,5e-4,0.003,0.006,49.3,-0.09,2.41,-0.37,1.95
NSRD0799,DTR Mags, 17,HIG5 DTR,P6,21.72,54.262016588388128,29.111000000000001,68.24,4.149,0.4,0.034,0.02,0.054,0.006,0.006,0.193,0.152,0.01,0.005,5e-4,0.002,0.001,0.002,0.011,0.014,0.111,0.011,0.002,0.002,5e-4,0.001,88.6,-0.4,-1.32,-1.16,-2.88
NSRD0799,DTR Tails, 17,HIG5 DTR,P6,18.308,45.737983411611872,22.228000000000002,13.98,58.74,5.597,0.269,0.425,0.879,0.084,0.108,3.24,2.074,0.111,0.006,0.002,0.004,0.006,5e-4,0.099,0.002,0.026,0.01,0.001,5e-4,0.006,0.007,1.2,0.36,6.51,0.89,7.76
NSRD0799,Calc Head, 17,HIG5 DTR,P6,40.027999999999999,100,25.962854601778755,43.42257020085939,29.117822524233038,2.777002997901469,0.14148426101728792,0.2052388328170281,0.43133836314579793,0.04167562706105726,0.05265274307984411,1.5866363545518138,1.03108404117118,0.05619536324572799,0.005457379834116118,0.001186069751174178,0.0029147596682322376,0.0032868991705805937,0.001313930248825822,0.05124942540221845,0.008511441990606576,0.07212271410012992,0.01054262016588388,0.0015426201658838813,0.001313930248825822,0.0030155890876386532,0.0037442790046967123,48.62500249825123,-0.0523913260717498,2.261284101129209,-0.2223713400619566,1.9865214349955027
NSRD0799,Head, 17,HIG5 DTR,P6,NA,NA,25.19,43.8,28.47,2.727,0.139,0.209,0.433,0.041,0.054,1.6,1.041,0.055,0.004,0.001,0.001,5e-4,5e-4,0.05,0.008,0.071,0.011,0.001,5e-4,0.003,0.005,49.8,-0.1,2.35,-0.27,1.98
NSRD0800,DTR Mags, 4,HIG5 DTR,P1,29.238,73.094999999999999,96.652000000000001,58.58,15.26,0.722,0.051,0.12,0.165,0.029,0.011,0.554,0.387,0.03,0.004,5e-4,0.004,0.004,0.003,0.011,0.005,0.04,0.008,0.001,5e-4,0.002,0.007,76.46,0.02,0.28,-1.44,-1.14
NSRD0800,DTR Tails, 4,HIG5 DTR,P1,10.762,26.905000000000001,82.105000000000004,14.03,62.27,3.398,0.16,0.579,1.007,0.129,0.102,2.84,1.496,0.141,0.006,5e-4,0.001,0.008,5e-4,0.037,5e-4,0.004,0.003,5e-4,5e-4,0.005,0.006,2.93,0.36,5.78,0.86,7
NSRD0800,Calc Head, 4,HIG5 DTR,P1,40,100,92.738129650000005,46.593822499999995,27.9080405,1.4419777999999999,0.08032645000000001,0.24349395000000001,0.3915401,0.055905,0.03548355,1.1690483,0.68537645,0.059864549999999996,0.004538100000000001,5e-4,0.0031928500000000005,0.0050762,0.002327375,0.0179953,0.003789275,0.0303142,0.00665475,8.654750000000001e-4,5e-4,0.0028071500000000004,0.00673095,56.6767535,0.111477,1.7597750000000003,-0.8211849999999999,1.0500670000000003
NSRD0800,Head, 4,HIG5 DTR,P1,NA,NA,84.293999999999997,46.87,27.21,1.469,0.072,0.256,0.413,0.057,0.034,1.24,0.688,0.046,0.003,5e-4,0.002,0.004,0.002,0.016,0.004,0.032,0.006,5e-4,5e-4,0.004,0.009,55.1,-0.05,1.87,-0.84,0.98
NSRD0800,DTR Mags, 4,HIG5 DTR,P2,26.709000000000003,66.772500000000008,62.728999999999999,63.57,10.01,0.463,0.033,0.074,0.101,0.018,0.009,0.34,0.255,0.026,0.003,5e-4,0.004,0.005,0.002,0.009,0.006,0.044,0.008,0.001,0.001,0.001,0.006,84.35,-0.23,-0.44,-1.46,-2.13
NSRD0800,DTR Tails, 4,HIG5 DTR,P2,13.290999999999997,33.227499999999992,59.082999999999998,13.21,63.23,3.505,0.155,0.596,0.995,0.135,0.097,2.92,1.541,0.135,0.007,5e-4,0.001,0.013,5e-4,0.037,5e-4,0.007,0.005,5e-4,5e-4,0.008,0.009,2.65,0.27,5.95,0.8,7.02
NSRD0800,Calc Head, 4,HIG5 DTR,P2,40,100,61.517525350000007,46.836631000000004,27.693675499999994,1.4737805499999996,0.07353755,0.24744754999999993,0.39805384999999993,0.056876174999999994,0.038240199999999995,1.1972694999999998,0.6823056499999999,0.062217974999999995,0.0043291,5e-4,0.0030031750000000003,0.0076581999999999996,0.0015015875000000001,0.018303699999999996,0.0041724875000000005,0.031705825,0.007003175,8.338625000000001e-4,8.338625000000001e-4,0.0033259249999999995,0.006996825,57.2031325,-0.06386250000000004,1.6832372499999997,-0.7090585000000001,0.9103162499999994
NSRD0800,Head, 4,HIG5 DTR,P2,NA,NA,54.771000000000001,46.86,27.4,1.481,0.078,0.258,0.418,0.058,0.039,1.26,0.695,0.056,0.003,5e-4,0.003,0.003,0.002,0.02,0.004,0.03,0.009,0.001,5e-4,0.005,0.011,55.67,-0.09,1.82,-0.75,0.98
NSRD0800,DTR Mags, 4,HIG5 DTR,P3,25.667999999999999,64.169999999999987,46.713999999999999,65.81,7.508,0.339,0.034,0.056,0.075,0.012,0.004,0.249,0.189,0.012,0.004,5e-4,0.004,0.003,0.003,0.008,0.006,0.044,0.008,0.002,5e-4,0.002,0.006,86.85,-0.3,-0.74,-1.43,-2.47
NSRD0800,DTR Tails, 4,HIG5 DTR,P3,14.332000000000001,35.83,45.786000000000001,14.64,61.48,3.735,0.177,0.587,0.926,0.131,0.102,2.75,1.501,0.131,0.008,5e-4,0.002,0.01,0.001,0.039,0.002,0.008,0.004,5e-4,5e-4,0.01,0.01,1.67,0.5,5.64,0.72,6.86
NSRD0800,Calc Head, 4,HIG5 DTR,P3,40,99.999999999999986,46.381497599999996,47.47578899999999,26.846167599999998,1.5557867999999997,0.08523689999999999,0.24625729999999998,0.37991329999999995,0.054637700000000004,0.03911339999999999,1.1451083,0.6590895999999999,0.054637700000000004,0.0054332,5e-4,0.0032833999999999997,0.0055081,0.0022833999999999997,0.0191073,0.004566799999999999,0.031101199999999992,0.006566799999999999,0.0014625499999999997,5e-4,0.0048664,0.0074332,56.330006,-0.01335999999999995,1.5459539999999998,-0.6596549999999998,0.8729390000000004
NSRD0800,Head, 4,HIG5 DTR,P3,NA,NA,41.432000000000002,46.94,27.24,1.477,0.071,0.258,0.416,0.057,0.04,1.24,0.691,0.052,0.003,5e-4,0.002,0.004,0.002,0.017,0.004,0.032,0.007,0.001,5e-4,0.006,0.009,55.48,-0.16,1.74,-0.67,0.91
NSRD0800,DTR Mags, 4,HIG5 DTR,P4,24.786000000000001,61.965000000000003,37.762,67.2,5.537,0.245,0.022,0.04,0.056,0.009,0.003,0.18,0.14,0.013,0.003,5e-4,0.005,0.003,5e-4,0.005,0.006,0.045,0.007,5e-4,5e-4,0.001,5e-4,90.7,-0.37,-0.99,-1.38,-2.74
NSRD0800,DTR Tails, 4,HIG5 DTR,P4,15.213999999999999,38.034999999999997,37.69,12.29,64.69,3.579,0.16,0.587,0.967,0.135,0.1,2.89,1.594,0.137,0.008,5e-4,0.003,0.015,0.002,0.042,5e-4,0.01,0.005,0.001,5e-4,0.012,0.013,1.4,0.32,5.9,0.75,6.97
NSRD0800,Calc Head, 4,HIG5 DTR,P4,40,100,37.734614800000003,46.3149815,28.03584355,1.5130868999999998,0.0744883,0.24805144999999995,0.4024988499999999,0.0569241,0.03989395,1.2107485,0.6930289,0.0601634,0.00490175,5e-4,0.0042393000000000005,0.0075642,0.001070525,0.019072949999999998,0.0039080750000000004,0.03168775,0.006239300000000001,6.901750000000001e-4,5e-4,0.00518385,0.005254374999999999,56.734745000000004,-0.10755850000000003,1.6306114999999999,-0.5698545,0.9531984999999992
NSRD0800,Head, 4,HIG5 DTR,P4,NA,NA,33.915999999999997,47.1,27.18,1.471,0.078,0.256,0.416,0.057,0.039,1.24,0.691,0.049,0.003,5e-4,0.003,0.002,0.002,0.017,0.004,0.03,0.007,0.001,5e-4,0.006,0.008,55.1,-0.16,1.68,-0.56,0.96
NSRD0800,DTR Mags, 4,HIG5 DTR,P5,24.060000000000002,60.150000000000006,31.744,69.33,3.338,0.154,0.023,0.029,0.04,0.005,0.002,0.127,0.083,0.007,0.004,5e-4,0.004,0.002,0.005,0.009,0.007,0.045,0.01,0.002,5e-4,0.003,0.005,92.24,-0.43,-1.22,-1.3,-2.95
NSRD0800,DTR Tails, 4,HIG5 DTR,P5,15.939999999999998,39.849999999999994,29.707000000000001,12.22,64.99,3.554,0.166,0.571,0.941,0.134,0.093,2.82,1.6,0.128,0.005,5e-4,0.003,0.012,5e-4,0.039,5e-4,0.009,0.004,5e-4,5e-4,0.01,0.008,1.4,0.33,5.77,0.71,6.81
