BV_ID,hole_id,test,comp_no,process_phase,grind_P97,Fe3O4_pct_SATMAGAN,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,C_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,LOI371_pct,LOI650_pct,LOI1000_pct,LOI_total_pct,project,Cu_pct_XRF,FeO_titration
44711010022,NSRD0801,DTR,6,Cons,53,89.2,67.88,4.148,0.368,0.037,0.04,0.123,0.014,0.013,0.29,0.086,0.005,0.003,-0.001,0.004,0.001,-0.001,0.002,0.01,0.123,0.009,-0.001,-0.001,-0.001,-0.001,-0.32,-0.81,-1.31,-2.44,4471,NA,NA
44711010023,NSRD0801,DTR,7,Cons,53,88.6,67.57,4.685,0.364,0.036,0.034,0.116,0.016,0.024,0.296,0.076,0.022,0.003,-0.001,0.002,0.003,0.004,-0.001,0.008,0.094,0.008,0.001,0.002,0.001,-0.001,-0.33,-1.04,-1.17,-2.54,4471,NA,NA
44711010024,NSRD0801,DTR,8,Cons,53,89.4,67.9,4.352,0.346,0.032,0.034,0.138,0.017,0.01,0.295,0.125,0.038,0.004,0.001,0.002,0.004,0.003,0.004,0.006,0.054,0.01,-0.001,-0.001,-0.001,-0.001,-0.42,-1,-1.23,-2.65,4471,NA,NA
44711010025,NSRD0801,DTR,3,Cons,45,84.8,67.86,4.525,0.302,0.026,0.027,0.098,0.009,0.009,0.19,0.144,0.011,0.004,-0.001,0.003,0.004,0.006,0.008,0.007,0.05,0.009,0.001,0.001,0.002,0.002,-0.4,-0.95,-1.18,-2.53,4471,NA,NA
44711010026,NSRD0801,DTR,4,Cons,45,89.6,68.09,4.306,0.303,0.027,0.033,0.114,0.008,0.01,0.186,0.15,0.021,0.004,-0.001,0.003,0.005,0.009,0.007,0.006,0.047,0.008,0.001,0.001,0.002,0.002,-0.44,-1.04,-1.21,-2.69,4471,NA,NA
44711010027,NSRD0801,DTR,5,Cons,45,89,67.56,4.92,0.308,0.025,0.033,0.107,0.014,0.008,0.239,0.117,0.021,0.003,-0.001,0.004,0.003,0.006,0.007,0.007,0.056,0.008,-0.001,0.001,0.001,0.001,-0.42,-0.92,-1.23,-2.57,4471,NA,NA
44711010028,NSRD0801,DTR,6,Cons,45,89.8,67.46,4.449,0.421,0.045,0.043,0.136,0.016,0.014,0.325,0.094,0.025,0.004,-0.001,0.002,0.003,0.005,0.004,0.011,0.123,0.011,0.001,-0.001,0.002,-0.001,-0.34,-0.73,-1.25,-2.32,4471,NA,NA
44711010029,NSRD0801,DTR,7,Cons,45,89.6,68.06,4.178,0.344,0.034,0.032,0.1,0.015,0.023,0.269,0.069,0.024,0.004,0.001,0.003,0.003,0.003,0.004,0.008,0.09,0.009,-0.001,-0.001,-0.001,-0.001,-0.35,-1.06,-1.22,-2.63,4471,NA,NA
44711010030,NSRD0801,DTR,8,Cons,45,90.9,68.8,3.413,0.28,0.028,0.029,0.111,0.013,0.007,0.24,0.095,0.014,0.006,0.001,0.004,0.003,0.006,0.005,0.007,0.056,0.01,0.001,-0.001,0.002,0.001,-0.46,-1.21,-1.11,-2.78,4471,NA,NA
44711010031,NSRD0801,DTR,3,Cons,38,86.7,68.62,3.729,0.247,0.02,0.024,0.089,0.008,0.007,0.161,0.113,0.001,0.003,-0.001,0.002,0.003,0.003,0.004,0.006,0.051,0.009,-0.001,-0.001,-0.001,-0.001,-0.47,-1.09,-1.1,-2.66,4471,NA,NA
44711010032,NSRD0801,DTR,4,Cons,38,90.9,68.77,3.65,0.254,0.025,0.03,0.103,0.008,0.008,0.151,0.122,0.007,0.002,-0.001,0.004,0.001,-0.001,0.004,0.006,0.046,0.006,-0.001,-0.001,-0.001,-0.001,-0.48,-1.21,-1.12,-2.81,4471,NA,NA
