hole_id,comp_no,process_phase,mass_kg,mass_pct,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,Fe3O4_pct_MAGNASAT,LOI371_pct,LOI650_pct,LOI1000_pct,LOI_total_pct
NSRD0798,10,Feed Assay,NA,NA,32.139533401121938,38.999166885646716,2.313785511899185,0.10582572234853245,0.34854572874655815,2.0434052463811163,0.1210902521507649,0.13267276383287441,2.3334455082431704,0.63018221234590455,0.18302168473728106,4.3255452603196722E-3,7.352502656323191E-4,4.999999999999999E-4,1.7313343311206825E-3,5.5097855518868445E-4,6.5916688564671465E-3,2.20291452923098E-3,1.711291372947776E-2,8.1043449449884029E-3,8.5118877603482333E-4,4.999999999999999E-4,3.905252093639676E-3,25,NA,0.99831863310749813,4.0636043163823725,1.1343304351800014,6.1962533846698742,NA
NSRD0799,5,DMS Mags,114.19999999999999,76.087680724898405,31.26,41.62,3.2970000000000002,0.158,0.38900000000000001,0.95599999999999996,0.111,9.4E-2,2.0699999999999998,1.5409999999999999,0.24099999999999999,4.0000000000000001E-3,1E-3,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,2.5999999999999999E-2,3.0000000000000001E-3,3.6999999999999998E-2,0.01,2E-3,5.0000000000000001E-4,4.0000000000000001E-3,24.5,25.41,0.28000000000000003,3.6,0.25,4.13,NA
NSRD0799,5,DMS Tails,35.89,23.912319275101609,28.15,45.48,4.2949999999999999,0.192,0.61299999999999999,0.69299999999999995,0.16800000000000001,9.4E-2,1.46,1.367,0.216,6.0000000000000001E-3,1E-3,1E-3,4.0000000000000001E-3,5.0000000000000001E-4,3.2000000000000001E-2,5.0000000000000001E-3,4.5999999999999999E-2,1.7000000000000001E-2,2E-3,5.0000000000000001E-4,6.0000000000000001E-3,1.61,1.3,2.56,1.4,0.56999999999999995,4.53,NA
NSRD0799,5,Calc Head,150.08999999999997,100.00000000000001,30.516326870544344,42.543015524018926,3.5356449463655144,0.16613018855353456,0.44256359517622768,0.89311060030648293,0.12463002198680793,9.4000000000000028E-2,1.9241348524218804,1.4993925644613233,0.23502192018122461,4.478246385502033E-3,1.0000000000000002E-3,6.1956159637550814E-4,2.4782463855020326E-3,5.0000000000000012E-4,2.7434739156506103E-2,3.478246385502033E-3,3.9152108734759147E-2,1.1673862349257113E-2,2.0000000000000005E-3,5.0000000000000001E-4,4.478246385502033E-3,19.026470117929247,19.644739822773005,0.82520087947231668,3.0739289759477653,0.32651942168032522,4.2256492771004073,NA
NSRD0799,5,Feed Assay(calc from PSD),NA,NA,30.391907339154091,42.85072049667216,3.5805587830100922,0.15971096936949833,0.45228033528948691,0.84334896765190037,0.11189958312459745,9.0313390109496905E-2,1.9217573176841056,1.5342601714019894,0.23121806340800119,4.4510573964073579E-3,1.0000000000000002E-3,6.4063282759607839E-4,2.3879982824017757E-3,5.8685947899520517E-4,2.7002209618550068E-2,3.3451030558935089E-3,3.8930365705288773E-2,1.2639930580405072E-2,1.2812656551921568E-3,5.0000000000000012E-4,4.4307235382523447E-3,19.068448704644677,NA,0.8360037214628212,3.1051343662778219,0.29648804837901677,4.237626136119661,NA
NSRD0799,6,DMS Mags,158.85,97.209473104461182,31.91,40.89,2.74,0.11600000000000001,0.41299999999999998,1.1839999999999999,0.10199999999999999,5.8999999999999997E-2,2.2400000000000002,1.359,0.26700000000000002,3.0000000000000001E-3,1E-3,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,2.1999999999999999E-2,3.0000000000000001E-3,2.8000000000000001E-2,8.9999999999999993E-3,1E-3,5.0000000000000001E-4,4.0000000000000001E-3,30.38,30.5,0.05,3.94,0.37,4.3600000000000003,NA
NSRD0799,6,DMS Tails,4.5599999999999996,2.7905268955388287,15.68,54.12,3.2879999999999998,8.2000000000000003E-2,0.55500000000000005,3.9390000000000001,0.16400000000000001,0.13,3.82,1.1100000000000001,0.32600000000000001,8.0000000000000002E-3,1E-3,5.0000000000000001E-4,8.0000000000000002E-3,5.0000000000000001E-4,1.2999999999999999E-2,5.0000000000000001E-4,8.9999999999999993E-3,8.9999999999999993E-3,1E-3,5.0000000000000001E-4,6.0000000000000001E-3,3.86,4.3,0.61,4.29,4.3,9.1999999999999993,NA
NSRD0799,6,Calc Head,163.41,100.00000000000001,31.457097484854053,41.259186708279792,2.7552920873875535,0.11505122085551682,0.41696254819166517,1.2608790159720948,0.10373012667523407,6.098127409583258E-2,2.2840903249495139,1.3520515880301085,0.26864641086836794,3.1395263447769415E-3,1E-3,5.0000000000000001E-4,2.1674316137323298E-3,5.0000000000000001E-4,2.1748852579401508E-2,2.9302368276115298E-3,2.7469799889847626E-2,9.0000000000000011E-3,1E-3,5.0000000000000001E-4,4.0558105379107767E-3,29.639952267303105,29.768881953368833,6.5626950615017457E-2,3.9497668441343863,0.47966770699467604,4.4950615017440798,NA
NSRD0799,6,Feed Assay(calc from PSD),NA,NA,31.01170182571952,41.415042653272742,2.717125831140875,0.11883638682930715,0.43979300007972566,1.4167524117037391,9.7808395120784472E-2,6.3113625129554318E-2,2.4176429083951203,1.3201068883042333,0.2474179781551463,3.161293151558638E-3,1E-3,7.5641792234712587E-4,1.3077015068165511E-3,5.2158574503707248E-4,2.0981966036833291E-2,2.6374392091206246E-3,2.7394690265486719E-2,8.1365462807940683E-3,9.2815116000956712E-4,5.0000000000000001E-4,3.5910308538627121E-3,28.989945786494456,NA,9.8803476042414073E-2,4.2293042334369764,0.76068316989555906,5.0887908793749492,NA
NSRD0799,10,DMS Mags,149.25,94.912559618441975,32.79,38.979999999999997,2.3809999999999998,0.104,0.46200000000000002,1.2110000000000001,8.6999999999999994E-2,0.114,2.56,0.93899999999999995,0.14099999999999999,2E-3,1E-3,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,1.2999999999999999E-2,2E-3,1.7000000000000001E-2,6.0000000000000001E-3,1E-3,5.0000000000000001E-4,3.0000000000000001E-3,30.57,30.08,7.0000000000000007E-2,4.8099999999999996,0.45,5.33,NA
NSRD0799,10,DMS Tails,8,5.0874403815580287,12.21,60.11,2.3069999999999999,0.06,0.50900000000000001,4.2629999999999999,8.1000000000000003E-2,0.45600000000000002,3.32,0.70699999999999996,0.155,3.0000000000000001E-3,1E-3,5.0000000000000001E-4,3.0000000000000001E-3,5.0000000000000001E-4,6.0000000000000001E-3,5.0000000000000001E-4,7.0000000000000001E-3,6.0000000000000001E-3,1E-3,5.0000000000000001E-4,2.9000000000000001E-2,3.02,2.5,0.31,4.5599999999999996,4.7,9.57,NA
NSRD0799,10,Calc Head,157.25,100,31.743004769475355,40.054976152623212,2.3772352941176469,0.10176152623211447,0.46439109697933234,1.3662686804451512,8.6694753577106501E-2,0.13139904610492847,2.5986645468998408,0.92719713831478545,0.14171224165341811,2.0508744038155802E-3,1E-3,5.0000000000000001E-4,2.0508744038155802E-3,5.0000000000000001E-4,1.2643879173290937E-2,1.9236883942766294E-3,1.6491255961844198E-2,6.0000000000000001E-3,1E-3,5.0000000000000001E-4,4.3227344992050878E-3,29.168410174880766,28.676883942766295,8.2209856915739274E-2,4.7972813990461045,0.66621621621621629,5.5457074721780604,NA
NSRD0799,10,Feed Assay(calc from PSD),NA,NA,31.254252386890254,41.379408255941641,2.3356870149448179,9.9124834825333602E-2,0.45502510654929179,1.4855892966816175,8.2245137816158276E-2,0.1660533211739964,2.6122736409149283,0.87531239880143685,0.13583243379054921,2.8045913904449949E-3,1E-3,5.0000000000000001E-4,1.5111015987046585E-3,5.0000000000000001E-4,1.3875230313971448E-2,2E-3,1.6904617446167017E-2,6.2687182445887854E-3,8.4622005918371138E-4,6.6822690811635746E-4,3.2537734268857825E-3,28.526092479201946,NA,7.1437345294150495E-2,4.7377037464406015,0.83143092441979494,5.6405720161545476,NA
NSRD0799,12,DMS Mags,155.35000000000002,98.11165845648604,31.83,40.65,2.76,0.124,0.42099999999999999,1.03,7.0999999999999994E-2,7.0000000000000007E-2,2.29,1.399,0.312,3.0000000000000001E-3,1E-3,5.0000000000000001E-4,1E-3,5.0000000000000001E-4,2.5000000000000001E-2,3.0000000000000001E-3,2.3E-2,7.0000000000000001E-3,1E-3,5.0000000000000001E-4,4.0000000000000001E-3,30.1,31.36,0.08,3.63,0.34,4.05,NA
NSRD0799,12,DMS Tails,2.99,1.888341543513957,16.510000000000002,50.89,3.36,0.10100000000000001,0.60499999999999998,4.6100000000000003,9.8000000000000004E-2,0.191,4.01,1.294,0.39600000000000002,4.0000000000000001E-3,2E-3,5.0000000000000001E-4,7.0000000000000001E-3,5.0000000000000001E-4,1.9E-2,5.0000000000000001E-4,7.0000000000000001E-3,8.0000000000000002E-3,1E-3,1E-3,5.0000000000000001E-3,5.0199999999999996,5.27,0.46,4.3600000000000003,5.13,9.9499999999999993,NA
NSRD0799,12,Calc Head,158.34000000000003,100,31.540706075533663,40.843366174055831,2.7713300492610835,0.12356568144499178,0.42447454844006566,1.0976026272577997,7.1509852216748757E-2,7.228489326765189E-2,2.3224794745484401,1.3970172413793103,0.3135862068965517,3.0188834154351394E-3,1.0188834154351396E-3,5.0000000000000001E-4,1.1133004926108375E-3,5.0000000000000001E-4,2.4886699507389164E-2,2.9527914614121509E-3,2.2697865353037767E-2,7.0188834154351395E-3,1E-3,5.0944170771756979E-4,4.0188834154351403E-3,29.6264039408867,30.86733169129721,8.7175697865353036E-2,3.643784893267652,0.43045155993431855,4.1614121510673234,NA
NSRD0799,12,Feed Assay(calc from PSD),NA,NA,31.292765294624509,41.198229222888202,3.0483312028330913,0.13326352867653327,0.42582405855561556,1.2866495658513954,9.0026872709712241E-2,8.366324839739038E-2,2.4120341069416433,1.5693023227187075,0.33850928424660781,3.1113352081735459E-3,7.7938433277466887E-4,5.495743733962068E-4,2.2226704163470917E-3,6.2618716207898972E-4,2.9360632143093864E-2,3.1598632692289479E-3,2.4615534660871709E-2,8.5425958014941922E-3,1.0418903691920198E-3,6.0087681921048392E-4,3.9511310589059644E-3,29.207186129969987,NA,0.12086166898654468,3.6964370460850877,0.62319840165137452,4.440497116723007,NA
NSRD0799,13,DMS Mags,147.55000000000001,94.468275817914076,29.79,43.29,3.7040000000000002,0.16700000000000001,0.40400000000000003,1.304,8.5000000000000006E-2,0.23,2.5499999999999998,1.9039999999999999,0.154,4.0000000000000001E-3,1E-3,5.0000000000000001E-4,3.0000000000000001E-3,5.0000000000000001E-4,3.9E-2,3.0000000000000001E-3,3.3000000000000002E-2,8.9999999999999993E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-3,28.67,28.76,0.13,3.69,0.68,4.5,NA
NSRD0799,13,DMS Tails,8.64,5.531724182085922,11.41,57.38,6.867,0.255,0.34399999999999997,2.9870000000000001,9.9000000000000005E-2,1.44,3.02,4.2949999999999999,0.192,7.0000000000000001E-3,2E-3,5.0000000000000001E-4,6.0000000000000001E-3,2E-3,5.1999999999999998E-2,4.0000000000000001E-3,3.6999999999999998E-2,1.7999999999999999E-2,3.0000000000000001E-3,1E-3,6.0000000000000001E-3,3.33,2.78,0.43,2.63,2.95,6.01,NA
NSRD0799,13,Calc Head,156.19,100,28.773269095332608,44.069419937255908,3.8789684358793779,0.17186791728023562,0.40068096549074844,1.3970989179845059,8.5774441385492034E-2,0.29693386260323967,2.5759991036558034,2.0362635251936738,0.15610205518919265,4.1659517254625774E-3,1.0553172418208592E-3,5.0000000000000001E-4,3.1659517254625778E-3,5.8297586273128876E-4,3.9719124143671174E-2,3.055317241820859E-3,3.3221268967283439E-2,9.497855176387732E-3,1.1106344836417184E-3,5.2765862091042959E-4,5.0553172418208595E-3,27.268261092259426,27.322858057494081,0.14659517254625776,3.6313637236698897,0.80557013893335039,4.5835290351494971,NA
NSRD0799,13,Feed Assay(calc from PSD),NA,NA,28.960729114569546,42.709178900297147,3.5602204014788237,0.15533670677532288,0.43688814686240474,1.2519928412422898,7.880503662734252E-2,0.27358550792856939,2.5686176733056794,1.8093048748198055,0.14951130201131674,4.1130005001323881E-3,1.0000000000000002E-3,6.7132966569582162E-4,2.2933521618467632E-3,5.0000000000000012E-4,3.6356192325419479E-2,3.4329087111294172E-3,2.725207653006188E-2,9.2400929657850614E-3,1.2629127318015555E-3,5.0000000000000012E-4,4.8491365361419195E-3,27.408300628597768,NA,0.13588087042648547,3.9990635756523796,0.6563800221627295,4.7913244682415943,NA
NSRD0799,14,DMS Mags,108.9,74.573717729233721,28.36,41.67,4.218,0.2,0.38400000000000001,0.88800000000000001,8.6999999999999994E-2,0.11799999999999999,2.85,1.5960000000000001,0.13,5.0000000000000001E-3,1E-3,5.0000000000000001E-4,2E-3,5.0000000000000001E-4,4.4999999999999998E-2,5.0000000000000001E-3,4.4999999999999998E-2,1.2999999999999999E-2,1E-3,1E-3,5.0000000000000001E-3,23.53,24.07,0.28999999999999998,5.42,0.25,5.96,NA
NSRD0799,14,DMS Tails,37.130000000000003,25.426282270766283,10.73,57.46,10.119999999999999,0.46500000000000002,0.16800000000000001,1.4950000000000001,4.2999999999999997E-2,0.40600000000000003,3.29,5.5369999999999999,0.19400000000000001,1.2E-2,2E-3,4.0000000000000001E-3,8.0000000000000002E-3,1E-3,0.11899999999999999,1.2E-2,9.0999999999999998E-2,0.03,4.0000000000000001E-3,1E-3,8.0000000000000002E-3,0.99,0.83,0.4,2.33,1.63,4.3600000000000003,NA
NSRD0799,14,Calc Head,146.03,100,23.877346435663902,45.684809970553999,5.7186591796206265,0.26737964801753067,0.32907923029514485,1.0423375333835514,7.5812435800862832E-2,0.19122769293980688,2.9618756419913717,2.5980497842908994,0.14627282065329042,6.7798397589536406E-3,1.254262822707663E-3,1.38991987947682E-3,3.5255769362459773E-3,6.2713141135383149E-4,6.381544888036704E-2,6.7798397589536406E-3,5.6696089844552489E-2,1.7322467986030269E-2,1.7627884681229887E-3,1E-3,5.7627884681229887E-3,17.79891597616928,18.160932000273917,0.31796891049784287,4.6343278778333223,0.60088269533657468,5.5531794836677397,NA
NSRD0799,14,Feed Assay(calc from PSD),NA,NA,23.892296996872524,45.857437262142504,5.8612406835223636,0.27719843437959224,0.32719095482120653,1.0336181091977845,7.0301669241493642E-2,0.21216390971777382,3.0166900599118285,2.6379219921624779,0.15032170579147666,7.0987320547119329E-3,9.225667884999435E-4,6.1775594408229389E-4,3.9697332228041749E-3,6.0400259994724734E-4,6.5750659406910592E-2,7.5108425336297526E-3,5.9233203963977542E-2,1.7783808734315537E-2,2.1776913222050563E-3,5.0000000000000001E-4,32.508965120157562,17.469006367986733,NA,0.30184144089830062,4.5632299634500164,0.67926730472135333,5.5443387090696694,NA
